targetSide,comparisonValue, staircase,WidthDiff,correct
-1,10.500, low,0.500,1
-1,12.000, high,2.000,1
1,10.000, low,0.000,1
-1,10.500, high,0.500,-1
-1,10.000, low,0.000,-1
1,8.500, high,1.500,1
-1,8.500, high,1.500,-1
-1,9.000, low,1.000,-1
1,12.500, high,2.500,1
-1,12.000, low,2.000,1
-1,8.000, low,2.000,-1
-1,7.500, high,2.500,-1
-1,7.500, high,2.500,-1
1,7.500, low,2.500,1
1,7.500, high,2.500,1
-1,12.500, low,2.500,1
1,11.500, low,1.500,1
-1,12.500, high,2.500,-1
-1,7.500, high,2.500,-1
1,8.500, low,1.500,1
1,12.500, high,2.500,1
1,9.500, low,0.500,1
1,10.500, low,0.500,1
1,12.500, high,2.500,1
1,8.500, high,1.500,1
-1,10.000, low,0.000,-1
1,11.500, high,1.500,1
1,10.500, low,0.500,1
1,9.500, low,0.500,1
1,10.500, high,0.500,1
-1,9.500, high,0.500,-1
1,10.000, low,0.000,1
1,11.000, high,1.000,1
-1,10.000, low,0.000,-1
1,10.500, low,0.500,-1
-1,9.000, high,1.000,1
1,9.500, high,0.500,-1
1,11.000, low,1.000,1
1,11.000, low,1.000,1
1,9.000, high,1.000,1
1,10.500, low,0.500,1
1,11.000, high,1.000,1
-1,9.500, low,0.500,1
1,9.500, high,0.500,1
1,10.000, low,0.000,1
-1,10.500, high,0.500,1
-1,10.000, high,0.000,-1
1,10.000, low,0.000,-1
-1,9.500, high,0.500,-1
1,9.500, low,0.500,1
-1,10.500, low,0.500,1
1,11.000, high,1.000,1
-1,9.000, high,1.000,1
1,10.000, low,0.000,1
1,10.000, low,0.000,1
1,10.500, high,0.500,1
1,10.000, low,0.000,1
1,10.500, high,0.500,-1
1,11.000, high,1.000,-1
-1,10.000, low,0.000,-1
-1,11.500, high,1.500,1
-1,9.500, low,0.500,-1
1,11.500, high,1.500,1
-1,11.000, low,1.000,-1
-1,11.500, low,1.500,1
-1,11.500, low,1.500,1
